payment_id,student_id,course_id,enrollment_id,amount,payment_date,payment_method,status
PAY00133,STU0043,CRS033,ENR00184,24.99,2023-09-09,Stripe,Successful
PAY00134,STU0043,CRS025,ENR00185,79.99,2023-07-01,PayPal,Successful
PAY00135,STU0043,CRS027,ENR00186,19.99,2024-07-15,Stripe,Successful
PAY00136,STU0043,CRS016,ENR00187,14.99,2023-06-14,UPI,Successful
PAY00137,STU0044,CRS035,ENR00188,14.99,2023-03-31,PayPal,Successful
PAY00138,STU0044,CRS019,ENR00189,79.99,2022-09-18,Credit Card,Successful
PAY00139,STU0044,CRS028,ENR00190,24.99,2024-12-24,Bank Transfer,Successful
PAY00140,STU0044,CRS001,ENR00191,49.99,2021-04-16,Bank Transfer,Successful
PAY00141,STU0044,CRS034,ENR00192,9.99,2022-05-14,UPI,Successful
PAY00142,STU0044,CRS007,ENR00193,14.99,2022-06-10,Stripe,Successful
PAY00143,STU0044,CRS002,ENR00194,14.99,2024-12-29,UPI,Successful
PAY00144,STU0045,CRS021,ENR00195,19.99,2022-08-25,Stripe,Successful
PAY00145,STU0045,CRS036,ENR00196,49.99,2024-09-07,PayPal,Successful
PAY00146,STU0045,CRS004,ENR00197,79.99,2022-06-21,Credit Card,Successful
PAY00147,STU0045,CRS001,ENR00198,49.99,2022-06-07,Bank Transfer,Successful
PAY00148,STU0045,CRS017,ENR00199,24.99,2022-01-20,Stripe,Successful
PAY00149,STU0045,CRS013,ENR00200,79.99,2022-02-11,UPI,Successful
PAY00150,STU0045,CRS029,ENR00201,14.99,2022-04-03,Credit Card,Successful
PAY00151,STU0046,CRS032,ENR00202,14.99,2022-11-23,Bank Transfer,Successful
PAY00152,STU0046,CRS037,ENR00203,29.99,2021-06-30,UPI,Successful
PAY00153,STU0046,CRS036,ENR00204,49.99,2024-02-28,Stripe,Successful
PAY00154,STU0046,CRS023,ENR00205,19.99,2022-05-10,Stripe,Successful
PAY00155,STU0046,CRS005,ENR00206,14.99,2022-12-21,Bank Transfer,Successful
PAY00156,STU0047,CRS036,ENR00207,49.99,2023-06-11,Bank Transfer,Successful
PAY00157,STU0047,CRS001,ENR00208,49.99,2023-03-25,Stripe,Successful
PAY00158,STU0047,CRS008,ENR00209,19.99,2024-07-11,UPI,Successful
PAY00159,STU0047,CRS023,ENR00210,19.99,2021-11-20,Credit Card,Successful
PAY00160,STU0047,CRS029,ENR00211,14.99,2022-03-07,PayPal,Successful
PAY00161,STU0047,CRS016,ENR00212,14.99,2022-11-02,Credit Card,Successful
PAY00162,STU0047,CRS035,ENR00213,14.99,2022-10-18,UPI,Successful
PAY00163,STU0047,CRS003,ENR00214,99.99,2022-01-17,Credit Card,Successful
PAY00164,STU0048,CRS022,ENR00215,14.99,2023-03-21,UPI,Successful
PAY00165,STU0048,CRS003,ENR00216,99.99,2024-06-20,Stripe,Successful
PAY00166,STU0048,CRS006,ENR00217,79.99,2022-01-13,Bank Transfer,Successful
PAY00167,STU0048,CRS005,ENR00218,14.99,2022-04-18,Credit Card,Successful
PAY00168,STU0048,CRS004,ENR00219,79.99,2022-05-07,Stripe,Successful
PAY00169,STU0048,CRS012,ENR00220,19.99,2022-06-05,Credit Card,Successful
PAY00170,STU0048,CRS017,ENR00221,24.99,2024-08-06,UPI,Successful
PAY00171,STU0048,CRS037,ENR00222,29.99,2024-12-31,Stripe,Successful
PAY00172,STU0049,CRS036,ENR00223,49.99,2024-04-03,Bank Transfer,Successful
PAY00173,STU0050,CRS035,ENR00224,14.99,2024-06-05,PayPal,Successful
PAY00174,STU0050,CRS036,ENR00225,49.99,2023-01-06,PayPal,Successful
PAY00175,STU0050,CRS006,ENR00226,79.99,2022-10-03,Credit Card,Successful
PAY00176,STU0050,CRS020,ENR00227,79.99,2024-09-12,Stripe,Successful
PAY00177,STU0050,CRS014,ENR00228,49.99,2022-06-28,UPI,Successful
PAY00178,STU0050,CRS023,ENR00229,19.99,2023-12-20,Credit Card,Successful
PAY00179,STU0050,CRS039,ENR00230,79.99,2023-09-17,Stripe,Successful
PAY00180,STU0052,CRS005,ENR00239,14.99,2024-10-28,Bank Transfer,Successful
PAY00181,STU0052,CRS002,ENR00240,14.99,2024-07-15,Credit Card,Successful
PAY00182,STU0053,CRS035,ENR00241,14.99,2023-12-25,Stripe,Successful
PAY00183,STU0053,CRS031,ENR00242,49.99,2023-09-25,Credit Card,Successful
PAY00184,STU0053,CRS010,ENR00243,49.99,2024-06-20,Bank Transfer,Successful
PAY00185,STU0053,CRS024,ENR00244,19.99,2023-10-27,UPI,Successful
PAY00186,STU0053,CRS026,ENR00245,9.99,2023-10-21,PayPal,Successful
PAY00187,STU0054,CRS023,ENR00246,19.99,2024-03-26,Stripe,Successful
PAY00188,STU0054,CRS003,ENR00247,99.99,2024-08-31,Credit Card,Successful
PAY00189,STU0054,CRS015,ENR00248,49.99,2023-09-09,Credit Card,Successful
PAY00190,STU0054,CRS032,ENR00249,14.99,2024-05-06,Bank Transfer,Successful
PAY00191,STU0054,CRS038,ENR00250,9.99,2024-01-25,Credit Card,Successful
PAY00192,STU0054,CRS005,ENR00251,14.99,2024-04-13,Stripe,Successful
PAY00193,STU0054,CRS017,ENR00252,24.99,2024-07-18,Bank Transfer,Successful
PAY00194,STU0054,CRS024,ENR00253,19.99,2023-08-06,UPI,Successful
PAY00195,STU0055,CRS015,ENR00254,49.99,2024-04-26,Stripe,Successful
PAY00196,STU0055,CRS005,ENR00255,14.99,2024-03-15,PayPal,Successful
PAY00197,STU0055,CRS033,ENR00256,24.99,2023-09-05,Credit Card,Successful
PAY00198,STU0056,CRS031,ENR00257,49.99,2024-05-30,PayPal,Successful
PAY00199,STU0056,CRS040,ENR00258,49.99,2024-10-06,PayPal,Successful
PAY00200,STU0056,CRS014,ENR00259,49.99,2024-05-12,UPI,Successful
PAY00201,STU0056,CRS011,ENR00260,9.99,2024-09-28,Credit Card,Successful
PAY00202,STU0056,CRS027,ENR00261,19.99,2024-12-08,Stripe,Successful
PAY00203,STU0056,CRS002,ENR00262,14.99,2024-12-26,UPI,Successful
PAY00204,STU0056,CRS016,ENR00263,14.99,2024-12-06,UPI,Successful
PAY00205,STU0056,CRS003,ENR00264,99.99,2024-09-28,PayPal,Successful
PAY00206,STU0057,CRS011,ENR00265,9.99,2023-09-21,Credit Card,Successful
PAY00207,STU0057,CRS022,ENR00266,14.99,2024-02-05,UPI,Successful
PAY00208,STU0057,CRS030,ENR00267,24.99,2023-12-13,UPI,Successful
PAY00209,STU0057,CRS039,ENR00268,79.99,2023-08-21,Bank Transfer,Successful
PAY00210,STU0057,CRS038,ENR00269,9.99,2023-11-10,Bank Transfer,Successful
PAY00211,STU0058,CRS028,ENR00270,24.99,2024-07-03,Bank Transfer,Successful
PAY00212,STU0059,CRS015,ENR00271,49.99,2023-03-01,Credit Card,Successful
PAY00213,STU0059,CRS031,ENR00272,49.99,2023-03-31,UPI,Successful
PAY00214,STU0059,CRS025,ENR00273,79.99,2023-03-04,Credit Card,Successful
PAY00215,STU0059,CRS023,ENR00274,19.99,2023-11-28,Stripe,Successful
PAY00216,STU0059,CRS007,ENR00275,14.99,2023-08-06,Bank Transfer,Successful
PAY00217,STU0059,CRS028,ENR00276,24.99,2023-02-28,Stripe,Successful
PAY00218,STU0059,CRS009,ENR00277,29.99,2024-03-01,UPI,Successful
PAY00219,STU0060,CRS012,ENR00278,19.99,2024-12-25,PayPal,Successful
PAY00220,STU0060,CRS024,ENR00279,19.99,2024-10-27,PayPal,Successful
PAY00221,STU0060,CRS036,ENR00280,49.99,2024-01-15,Bank Transfer,Successful
PAY00222,STU0060,CRS038,ENR00281,9.99,2024-10-04,Credit Card,Successful
PAY00223,STU0060,CRS031,ENR00282,49.99,2024-02-15,PayPal,Successful
PAY00224,STU0060,CRS017,ENR00283,24.99,2024-07-23,Credit Card,Successful
PAY00225,STU0060,CRS020,ENR00284,79.99,2023-12-27,Credit Card,Successful
PAY00226,STU0060,CRS023,ENR00285,19.99,2024-11-29,Bank Transfer,Successful
PAY00227,STU0061,CRS039,ENR00286,79.99,2023-10-03,Bank Transfer,Successful
PAY00228,STU0061,CRS004,ENR00287,79.99,2024-02-21,PayPal,Successful
PAY00229,STU0061,CRS012,ENR00288,19.99,2024-08-07,Credit Card,Successful
PAY00230,STU0061,CRS032,ENR00289,14.99,2023-12-17,Stripe,Successful
PAY00231,STU0061,CRS029,ENR00290,14.99,2024-09-04,Credit Card,Successful
PAY00232,STU0062,CRS006,ENR00291,79.99,2022-09-10,Bank Transfer,Successful
PAY00233,STU0062,CRS036,ENR00292,49.99,2023-01-18,PayPal,Successful
PAY00234,STU0063,CRS026,ENR00293,9.99,2024-05-13,Credit Card,Successful
PAY00235,STU0063,CRS037,ENR00294,29.99,2024-12-24,Bank Transfer,Successful
PAY00236,STU0063,CRS001,ENR00295,49.99,2024-08-12,Bank Transfer,Successful
PAY00237,STU0063,CRS017,ENR00296,24.99,2024-12-09,UPI,Successful
PAY00238,STU0063,CRS012,ENR00297,19.99,2024-11-27,UPI,Successful
PAY00239,STU0063,CRS027,ENR00298,19.99,2024-06-04,PayPal,Successful
PAY00240,STU0063,CRS033,ENR00299,24.99,2024-08-01,Stripe,Successful
PAY00241,STU0063,CRS007,ENR00300,14.99,2024-12-26,Stripe,Successful
PAY00242,STU0064,CRS019,ENR00301,79.99,2024-03-11,UPI,Successful
PAY00243,STU0064,CRS006,ENR00302,79.99,2024-07-11,PayPal,Successful
PAY00244,STU0064,CRS026,ENR00303,9.99,2024-10-14,PayPal,Successful
PAY00245,STU0064,CRS022,ENR00304,14.99,2024-06-16,Bank Transfer,Successful
PAY00246,STU0065,CRS010,ENR00305,49.99,2024-07-20,UPI,Successful
PAY00247,STU0065,CRS007,ENR00306,14.99,2023-06-14,Bank Transfer,Successful
PAY00248,STU0065,CRS008,ENR00307,19.99,2024-11-04,Bank Transfer,Successful
PAY00249,STU0065,CRS006,ENR00308,79.99,2023-03-12,Bank Transfer,Successful
PAY00250,STU0065,CRS032,ENR00309,14.99,2024-08-25,Credit Card,Successful
PAY00251,STU0065,CRS001,ENR00310,49.99,2023-10-26,UPI,Successful
PAY00252,STU0066,CRS034,ENR00311,9.99,2024-06-12,PayPal,Successful
PAY00253,STU0066,CRS030,ENR00312,24.99,2024-07-15,Stripe,Successful
PAY00254,STU0067,CRS012,ENR00313,19.99,2023-11-15,Stripe,Successful
PAY00255,STU0067,CRS036,ENR00314,49.99,2023-01-25,UPI,Successful
PAY00256,STU0067,CRS017,ENR00315,24.99,2024-07-07,UPI,Successful
PAY00257,STU0067,CRS016,ENR00316,14.99,2023-05-03,PayPal,Successful
PAY00258,STU0067,CRS018,ENR00317,24.99,2024-03-01,Stripe,Successful
PAY00259,STU0068,CRS036,ENR00318,49.99,2022-11-27,PayPal,Successful
PAY00260,STU0068,CRS028,ENR00319,24.99,2024-09-27,UPI,Successful
PAY00261,STU0068,CRS025,ENR00320,79.99,2024-11-21,Stripe,Successful
PAY00262,STU0068,CRS013,ENR00321,79.99,2024-10-25,PayPal,Successful
PAY00263,STU0069,CRS014,ENR00322,49.99,2022-07-03,Credit Card,Successful
PAY00264,STU0070,CRS022,ENR00323,14.99,2024-09-05,Bank Transfer,Successful
PAY00265,STU0070,CRS017,ENR00324,24.99,2024-05-19,Bank Transfer,Successful
PAY00266,STU0070,CRS024,ENR00325,19.99,2024-05-07,Stripe,Successful
PAY00267,STU0070,CRS038,ENR00326,9.99,2024-07-23,UPI,Successful
PAY00268,STU0070,CRS036,ENR00327,49.99,2024-03-19,PayPal,Successful
PAY00269,STU0070,CRS039,ENR00328,79.99,2024-05-03,UPI,Successful
PAY00270,STU0070,CRS023,ENR00329,19.99,2024-12-27,Credit Card,Successful
PAY00271,STU0070,CRS002,ENR00330,14.99,2024-03-19,Stripe,Successful
PAY00272,STU0071,CRS039,ENR00331,79.99,2024-05-12,UPI,Successful
PAY00273,STU0071,CRS026,ENR00332,9.99,2022-01-03,PayPal,Successful
PAY00274,STU0071,CRS018,ENR00333,24.99,2024-10-12,UPI,Successful
PAY00275,STU0071,CRS029,ENR00334,14.99,2021-08-24,Credit Card,Successful
PAY00276,STU0071,CRS024,ENR00335,19.99,2023-04-19,Credit Card,Successful
PAY00277,STU0072,CRS040,ENR00336,49.99,2023-04-27,PayPal,Successful
PAY00278,STU0072,CRS010,ENR00337,49.99,2022-10-08,Credit Card,Successful
PAY00279,STU0072,CRS006,ENR00338,79.99,2022-03-25,UPI,Successful
PAY00280,STU0072,CRS025,ENR00339,79.99,2024-08-26,Stripe,Successful
PAY00281,STU0072,CRS020,ENR00340,79.99,2024-07-12,Bank Transfer,Successful
PAY00282,STU0074,CRS026,ENR00349,9.99,2021-09-29,Bank Transfer,Successful
PAY00283,STU0074,CRS016,ENR00350,14.99,2024-09-26,Stripe,Successful
PAY00284,STU0074,CRS011,ENR00351,9.99,2022-11-24,Stripe,Successful
PAY00285,STU0074,CRS025,ENR00352,79.99,2023-08-13,Stripe,Successful
PAY00286,STU0074,CRS037,ENR00353,29.99,2021-12-02,UPI,Successful
PAY00287,STU0074,CRS015,ENR00354,49.99,2022-10-29,PayPal,Successful
PAY00288,STU0074,CRS017,ENR00355,24.99,2023-02-05,Credit Card,Successful
PAY00289,STU0075,CRS007,ENR00356,14.99,2022-05-14,Credit Card,Successful
PAY00290,STU0075,CRS019,ENR00357,79.99,2022-12-20,Stripe,Successful
PAY00291,STU0075,CRS018,ENR00358,24.99,2024-01-08,UPI,Successful
PAY00292,STU0076,CRS022,ENR00359,14.99,2023-05-12,Credit Card,Successful
PAY00293,STU0078,CRS007,ENR00365,14.99,2022-06-03,Bank Transfer,Successful
PAY00294,STU0078,CRS034,ENR00366,9.99,2022-11-14,Stripe,Successful
PAY00295,STU0078,CRS014,ENR00367,49.99,2022-06-23,Credit Card,Successful
PAY00296,STU0078,CRS031,ENR00368,49.99,2023-07-05,Credit Card,Successful
PAY00297,STU0078,CRS025,ENR00369,79.99,2023-02-14,Credit Card,Successful
PAY00298,STU0078,CRS020,ENR00370,79.99,2024-05-27,Credit Card,Successful
PAY00299,STU0078,CRS021,ENR00371,19.99,2024-11-06,Stripe,Successful
PAY00300,STU0078,CRS011,ENR00372,9.99,2022-09-08,Bank Transfer,Successful
PAY00301,STU0081,CRS017,ENR00382,24.99,2024-10-05,PayPal,Successful
PAY00302,STU0081,CRS035,ENR00383,14.99,2022-08-22,Bank Transfer,Successful
PAY00303,STU0081,CRS024,ENR00384,19.99,2023-04-04,Bank Transfer,Successful
PAY00304,STU0081,CRS030,ENR00385,24.99,2024-11-18,Bank Transfer,Successful
PAY00305,STU0081,CRS001,ENR00386,49.99,2023-01-07,UPI,Successful
PAY00306,STU0085,CRS007,ENR00401,14.99,2024-07-19,Stripe,Successful
PAY00307,STU0085,CRS011,ENR00402,9.99,2023-08-03,Stripe,Successful
PAY00308,STU0085,CRS012,ENR00403,19.99,2023-11-11,Stripe,Successful
PAY00309,STU0085,CRS036,ENR00404,49.99,2024-05-30,Bank Transfer,Successful
PAY00310,STU0085,CRS026,ENR00405,9.99,2024-10-16,UPI,Successful
PAY00311,STU0085,CRS033,ENR00406,24.99,2022-09-15,Bank Transfer,Successful
PAY00312,STU0085,CRS022,ENR00407,14.99,2022-10-01,Credit Card,Successful
PAY00313,STU0086,CRS015,ENR00408,49.99,2024-12-21,Bank Transfer,Successful
PAY00314,STU0086,CRS014,ENR00409,49.99,2023-11-09,PayPal,Successful
PAY00315,STU0086,CRS021,ENR00410,19.99,2024-03-01,Stripe,Successful
PAY00316,STU0086,CRS002,ENR00411,14.99,2024-04-06,PayPal,Successful
PAY00317,STU0086,CRS018,ENR00412,24.99,2023-08-22,PayPal,Successful
PAY00318,STU0088,CRS039,ENR00421,79.99,2022-10-24,Credit Card,Successful
PAY00319,STU0088,CRS037,ENR00422,29.99,2024-03-21,PayPal,Successful
PAY00320,STU0088,CRS033,ENR00423,24.99,2022-09-27,UPI,Successful
PAY00321,STU0088,CRS006,ENR00424,79.99,2024-03-13,Bank Transfer,Successful
PAY00322,STU0088,CRS015,ENR00425,49.99,2024-12-02,UPI,Successful
PAY00323,STU0088,CRS028,ENR00426,24.99,2023-10-18,Credit Card,Successful
PAY00324,STU0088,CRS019,ENR00427,79.99,2022-08-12,Stripe,Successful
PAY00325,STU0088,CRS026,ENR00428,9.99,2023-12-08,Credit Card,Successful
PAY00326,STU0091,CRS007,ENR00440,14.99,2024-09-25,Stripe,Successful
