enrollment_id,student_id,course_id,enrolled_date,completion_status,completion_date,progress_pct,rating
ENR00028,STU0007,CRS002,2022-05-25,In Progress,,28,
ENR00029,STU0007,CRS021,2024-04-05,Completed,2024-07-02,100,3.4
ENR00030,STU0007,CRS015,2023-11-13,In Progress,,89,
ENR00031,STU0008,CRS023,2024-02-27,In Progress,,72,
ENR00032,STU0009,CRS035,2024-11-07,Completed,2024-12-10,100,4.0
ENR00033,STU0009,CRS020,2024-06-21,In Progress,,25,
ENR00034,STU0009,CRS012,2024-03-10,Completed,2024-06-08,100,4.8
ENR00035,STU0009,CRS032,2024-06-17,Completed,2024-07-24,100,4.2
ENR00036,STU0009,CRS003,2024-03-16,In Progress,,67,
ENR00037,STU0009,CRS006,2024-07-08,In Progress,,47,
ENR00038,STU0009,CRS004,2024-12-29,In Progress,,50,
ENR00039,STU0009,CRS015,2024-10-30,Completed,2024-11-18,100,3.6
ENR00040,STU0010,CRS028,2024-07-02,In Progress,,71,
ENR00041,STU0010,CRS032,2024-10-03,Completed,2024-12-17,100,4.6
ENR00042,STU0010,CRS021,2024-10-14,Completed,2024-11-20,100,3.3
ENR00043,STU0011,CRS037,2024-01-13,In Progress,,72,
ENR00044,STU0012,CRS012,2024-09-04,In Progress,,78,
ENR00045,STU0013,CRS037,2022-11-13,In Progress,,30,
ENR00046,STU0013,CRS007,2022-10-20,Completed,2023-01-18,100,4.6
ENR00047,STU0013,CRS032,2023-07-07,Completed,2024-02-06,100,3.5
ENR00048,STU0013,CRS010,2022-12-22,Completed,2023-04-11,100,4.4
ENR00049,STU0014,CRS029,2024-06-15,Completed,2024-10-15,100,4.6
ENR00050,STU0014,CRS027,2022-08-28,Completed,2022-11-11,100,4.6
ENR00051,STU0014,CRS011,2023-01-17,Completed,2023-10-11,100,4.9
ENR00052,STU0014,CRS039,2023-04-24,Completed,2024-05-12,100,3.3
ENR00053,STU0014,CRS032,2024-06-17,In Progress,,11,
ENR00054,STU0014,CRS025,2024-09-21,In Progress,,61,
ENR00055,STU0014,CRS023,2023-10-24,In Progress,,21,
ENR00056,STU0015,CRS011,2024-10-21,In Progress,,93,
ENR00057,STU0015,CRS004,2023-03-10,In Progress,,38,
ENR00058,STU0015,CRS007,2022-03-28,Completed,2023-11-03,100,4.1
ENR00059,STU0015,CRS022,2022-07-24,Completed,2022-07-27,100,3.9
ENR00060,STU0015,CRS014,2024-05-23,Completed,2024-05-29,100,3.4
ENR00061,STU0015,CRS013,2022-02-27,In Progress,,14,
ENR00062,STU0015,CRS027,2023-12-06,In Progress,,84,
ENR00063,STU0016,CRS035,2023-05-08,Completed,2024-06-01,100,3.7
ENR00064,STU0016,CRS025,2022-12-15,Completed,2024-04-04,100,3.5
ENR00065,STU0017,CRS010,2024-12-30,Completed,2024-12-31,100,4.6
ENR00066,STU0018,CRS036,2023-05-08,In Progress,,87,
ENR00067,STU0018,CRS004,2024-03-18,In Progress,,60,
ENR00068,STU0018,CRS025,2021-06-11,Completed,2021-08-21,100,4.0
ENR00069,STU0018,CRS034,2024-03-16,In Progress,,79,
ENR00070,STU0019,CRS029,2024-06-26,In Progress,,24,
ENR00071,STU0019,CRS012,2024-04-23,In Progress,,87,
ENR00072,STU0020,CRS010,2022-07-29,Completed,2024-02-18,100,3.8
ENR00073,STU0020,CRS039,2023-09-30,In Progress,,1,
ENR00074,STU0020,CRS017,2024-07-20,Completed,2024-08-27,100,3.3
ENR00075,STU0020,CRS021,2022-10-05,In Progress,,72,
ENR00076,STU0021,CRS035,2024-06-05,In Progress,,77,
ENR00077,STU0021,CRS023,2022-09-12,Completed,2023-10-29,100,3.3
ENR00078,STU0021,CRS027,2024-07-02,In Progress,,4,
ENR00079,STU0021,CRS017,2023-07-10,In Progress,,6,
ENR00080,STU0021,CRS025,2023-05-07,In Progress,,2,
ENR00081,STU0022,CRS020,2022-09-11,Completed,2024-10-11,100,3.9
ENR00082,STU0022,CRS018,2023-01-27,In Progress,,77,
ENR00083,STU0022,CRS032,2022-11-05,In Progress,,52,
ENR00084,STU0022,CRS007,2024-06-12,In Progress,,47,
ENR00085,STU0022,CRS015,2023-10-06,In Progress,,8,
ENR00086,STU0023,CRS009,2021-08-01,Completed,2024-02-21,100,3.1
ENR00087,STU0023,CRS034,2023-04-13,In Progress,,35,
ENR00088,STU0023,CRS037,2023-04-29,In Progress,,64,
ENR00089,STU0023,CRS002,2023-06-26,In Progress,,15,
ENR00090,STU0023,CRS012,2021-06-06,Completed,2024-03-03,100,4.2
ENR00091,STU0023,CRS013,2022-04-03,In Progress,,60,
ENR00092,STU0023,CRS035,2024-07-19,In Progress,,44,
ENR00093,STU0024,CRS017,2024-04-07,Completed,2024-06-29,100,4.7
ENR00094,STU0024,CRS006,2024-07-15,In Progress,,86,
ENR00095,STU0024,CRS019,2024-08-08,In Progress,,65,
ENR00096,STU0025,CRS031,2022-07-27,In Progress,,76,
ENR00097,STU0026,CRS017,2024-06-30,In Progress,,44,
ENR00098,STU0026,CRS039,2024-04-04,Completed,2024-09-05,100,4.4
ENR00099,STU0026,CRS020,2024-06-17,In Progress,,0,
ENR00100,STU0026,CRS018,2024-10-31,In Progress,,47,
ENR00101,STU0027,CRS020,2023-04-20,In Progress,,35,
ENR00102,STU0027,CRS007,2023-06-04,Completed,2024-11-14,100,4.5
ENR00103,STU0027,CRS031,2024-01-06,In Progress,,87,
ENR00104,STU0027,CRS005,2021-11-22,In Progress,,37,
ENR00105,STU0027,CRS022,2024-02-05,In Progress,,94,
ENR00106,STU0028,CRS022,2024-06-27,In Progress,,21,
ENR00107,STU0028,CRS015,2023-12-28,Completed,2024-08-25,100,3.3
ENR00108,STU0028,CRS035,2023-12-30,In Progress,,42,
ENR00109,STU0028,CRS031,2024-02-08,Completed,2024-07-14,100,3.8
ENR00110,STU0029,CRS017,2023-09-27,In Progress,,74,
ENR00111,STU0029,CRS038,2024-12-26,In Progress,,60,
ENR00112,STU0029,CRS019,2024-05-13,Completed,2024-11-03,100,3.8
ENR00113,STU0029,CRS030,2024-03-29,Completed,2024-06-14,100,3.3
ENR00114,STU0029,CRS008,2024-02-22,In Progress,,72,
ENR00115,STU0029,CRS031,2023-11-12,Completed,2024-11-12,100,3.4
ENR00116,STU0030,CRS022,2024-12-27,In Progress,,73,
ENR00117,STU0030,CRS012,2024-08-10,In Progress,,11,
ENR00118,STU0030,CRS021,2024-10-13,In Progress,,54,
ENR00119,STU0030,CRS004,2024-07-10,In Progress,,49,
ENR00120,STU0030,CRS001,2023-12-23,In Progress,,93,
ENR00121,STU0030,CRS029,2023-12-11,In Progress,,67,
ENR00122,STU0030,CRS018,2023-12-13,In Progress,,80,
ENR00123,STU0030,CRS014,2024-03-28,In Progress,,44,
ENR00124,STU0031,CRS007,2024-04-02,Completed,2024-05-05,100,4.6
ENR00125,STU0031,CRS025,2023-06-02,In Progress,,66,
ENR00126,STU0031,CRS033,2024-01-27,Completed,2024-04-04,100,3.7
ENR00127,STU0032,CRS013,2024-03-19,Completed,2024-03-30,100,4.2
ENR00128,STU0032,CRS011,2024-03-15,Completed,2024-04-03,100,3.8
ENR00129,STU0032,CRS026,2024-10-11,In Progress,,76,
ENR00130,STU0032,CRS002,2024-12-15,Completed,2024-12-15,100,3.1
ENR00131,STU0032,CRS015,2024-08-12,In Progress,,15,
ENR00132,STU0032,CRS036,2024-05-20,In Progress,,19,
ENR00133,STU0033,CRS020,2024-03-19,In Progress,,84,
ENR00134,STU0034,CRS040,2024-10-04,In Progress,,15,
ENR00135,STU0034,CRS039,2024-06-09,Completed,2024-07-06,100,4.0
ENR00136,STU0034,CRS009,2024-11-23,Completed,2024-12-09,100,4.7
ENR00137,STU0034,CRS027,2024-04-29,Completed,2024-08-11,100,3.6
ENR00138,STU0034,CRS007,2024-02-06,In Progress,,26,
ENR00139,STU0035,CRS022,2023-08-11,In Progress,,9,
ENR00140,STU0035,CRS016,2023-08-22,In Progress,,82,
ENR00141,STU0035,CRS001,2024-01-02,In Progress,,37,
ENR00142,STU0035,CRS038,2024-02-05,In Progress,,12,
ENR00143,STU0035,CRS006,2023-11-05,In Progress,,37,
ENR00144,STU0035,CRS008,2024-05-13,In Progress,,40,
ENR00145,STU0035,CRS032,2024-07-20,In Progress,,12,
ENR00146,STU0035,CRS010,2023-06-26,Completed,2023-11-14,100,4.3
ENR00147,STU0036,CRS022,2024-11-16,Completed,2024-11-21,100,3.7
ENR00148,STU0036,CRS023,2023-08-25,Completed,2024-03-16,100,4.9
ENR00149,STU0036,CRS029,2024-03-19,In Progress,,61,
ENR00150,STU0037,CRS008,2023-08-20,Completed,2024-11-28,100,4.2
ENR00151,STU0037,CRS009,2024-05-31,Completed,2024-09-05,100,4.6
ENR00152,STU0037,CRS004,2023-04-08,In Progress,,93,
ENR00153,STU0038,CRS032,2022-07-25,In Progress,,86,
ENR00154,STU0038,CRS008,2024-01-01,In Progress,,73,
ENR00155,STU0038,CRS027,2024-07-23,In Progress,,85,
ENR00156,STU0038,CRS029,2024-12-23,Completed,2024-12-31,100,4.4
ENR00157,STU0038,CRS003,2024-04-06,Completed,2024-08-11,100,4.0
ENR00158,STU0038,CRS005,2024-05-22,In Progress,,49,
ENR00159,STU0038,CRS017,2022-12-12,In Progress,,71,
ENR00160,STU0038,CRS021,2024-03-31,Completed,2024-06-19,100,4.0
ENR00161,STU0039,CRS032,2023-05-30,In Progress,,70,
ENR00162,STU0039,CRS011,2024-05-25,In Progress,,10,
ENR00163,STU0039,CRS005,2024-07-06,In Progress,,57,
ENR00164,STU0039,CRS040,2024-08-31,In Progress,,15,
ENR00165,STU0039,CRS021,2023-04-27,Completed,2024-06-22,100,3.1
ENR00166,STU0039,CRS016,2023-04-09,In Progress,,77,
ENR00167,STU0039,CRS022,2024-02-14,In Progress,,71,
ENR00168,STU0039,CRS018,2024-07-19,In Progress,,46,
ENR00169,STU0040,CRS030,2024-07-07,In Progress,,84,
ENR00170,STU0040,CRS022,2023-03-11,In Progress,,14,
ENR00171,STU0040,CRS036,2021-09-12,In Progress,,28,
ENR00172,STU0040,CRS040,2021-03-01,Completed,2024-09-18,100,4.9
ENR00173,STU0041,CRS036,2023-11-12,In Progress,,91,
ENR00174,STU0041,CRS034,2023-09-14,Completed,2023-12-23,100,3.4
ENR00175,STU0041,CRS024,2024-01-03,In Progress,,24,
ENR00176,STU0041,CRS007,2023-09-15,In Progress,,5,
ENR00177,STU0041,CRS003,2023-10-01,In Progress,,57,
ENR00178,STU0042,CRS032,2023-04-06,In Progress,,55,
ENR00179,STU0042,CRS001,2024-06-24,In Progress,,22,
ENR00180,STU0042,CRS034,2023-08-12,In Progress,,16,
ENR00181,STU0043,CRS039,2023-11-23,Completed,2024-05-16,100,4.9
ENR00182,STU0043,CRS040,2023-07-02,Completed,2024-12-07,100,3.6
ENR00183,STU0043,CRS021,2024-01-03,In Progress,,70,
ENR00184,STU0043,CRS033,2023-09-09,Completed,2024-09-08,100,3.6
ENR00185,STU0043,CRS025,2023-07-01,In Progress,,83,
ENR00186,STU0043,CRS027,2024-07-15,In Progress,,81,
ENR00187,STU0043,CRS016,2023-06-14,In Progress,,71,
ENR00188,STU0044,CRS035,2023-03-31,Completed,2023-05-27,100,3.4
ENR00189,STU0044,CRS019,2022-09-18,In Progress,,18,
ENR00190,STU0044,CRS028,2024-12-24,In Progress,,26,
ENR00191,STU0044,CRS001,2021-04-16,Completed,2023-10-29,100,3.2
ENR00192,STU0044,CRS034,2022-05-14,In Progress,,71,
ENR00193,STU0044,CRS007,2022-06-10,In Progress,,89,
ENR00194,STU0044,CRS002,2024-12-29,In Progress,,48,
ENR00195,STU0045,CRS021,2022-08-25,In Progress,,90,
ENR00196,STU0045,CRS036,2024-09-07,In Progress,,77,
ENR00197,STU0045,CRS004,2022-06-21,Completed,2022-12-19,100,5.0
ENR00198,STU0045,CRS001,2022-06-07,In Progress,,94,
ENR00199,STU0045,CRS017,2022-01-20,Completed,2024-06-15,100,3.6
ENR00200,STU0045,CRS013,2022-02-11,Completed,2023-07-18,100,3.0
ENR00201,STU0045,CRS029,2022-04-03,Completed,2024-11-08,100,3.6
ENR00202,STU0046,CRS032,2022-11-23,In Progress,,23,
ENR00203,STU0046,CRS037,2021-06-30,In Progress,,20,
ENR00204,STU0046,CRS036,2024-02-28,In Progress,,11,
ENR00205,STU0046,CRS023,2022-05-10,In Progress,,84,
ENR00206,STU0046,CRS005,2022-12-21,Completed,2023-08-01,100,4.9
ENR00207,STU0047,CRS036,2023-06-11,Completed,2023-10-05,100,3.8
ENR00208,STU0047,CRS001,2023-03-25,Completed,2024-09-04,100,4.6
ENR00209,STU0047,CRS008,2024-07-11,In Progress,,57,
ENR00210,STU0047,CRS023,2021-11-20,Completed,2022-12-19,100,3.6
ENR00211,STU0047,CRS029,2022-03-07,Completed,2022-03-22,100,4.3
ENR00212,STU0047,CRS016,2022-11-02,In Progress,,54,
ENR00213,STU0047,CRS035,2022-10-18,In Progress,,89,
ENR00214,STU0047,CRS003,2022-01-17,In Progress,,19,
ENR00215,STU0048,CRS022,2023-03-21,In Progress,,52,
ENR00216,STU0048,CRS003,2024-06-20,In Progress,,55,
ENR00217,STU0048,CRS006,2022-01-13,Completed,2022-09-12,100,4.1
ENR00218,STU0048,CRS005,2022-04-18,In Progress,,74,
ENR00219,STU0048,CRS004,2022-05-07,Completed,2023-10-03,100,3.2
ENR00220,STU0048,CRS012,2022-06-05,Completed,2023-08-27,100,3.8
ENR00221,STU0048,CRS017,2024-08-06,Completed,2024-10-01,100,3.3
ENR00222,STU0048,CRS037,2024-12-31,Completed,2024-12-31,100,3.6
ENR00223,STU0049,CRS036,2024-04-03,Completed,2024-04-24,100,3.0
ENR00224,STU0050,CRS035,2024-06-05,In Progress,,65,
ENR00225,STU0050,CRS036,2023-01-06,Completed,2024-09-28,100,4.7
ENR00226,STU0050,CRS006,2022-10-03,Completed,2024-12-29,100,4.1
ENR00227,STU0050,CRS020,2024-09-12,In Progress,,9,
ENR00228,STU0050,CRS014,2022-06-28,Completed,2023-01-16,100,4.5
ENR00229,STU0050,CRS023,2023-12-20,Completed,2024-11-27,100,4.3
ENR00230,STU0050,CRS039,2023-09-17,In Progress,,24,
ENR00231,STU0051,CRS029,2022-09-14,Completed,2024-11-26,100,3.4
ENR00232,STU0051,CRS022,2024-10-06,In Progress,,35,
ENR00233,STU0051,CRS020,2023-09-13,Completed,2024-09-22,100,3.7
ENR00234,STU0051,CRS010,2024-01-14,In Progress,,45,
ENR00235,STU0051,CRS024,2024-11-11,Completed,2024-12-16,100,3.2
ENR00236,STU0051,CRS021,2024-07-02,In Progress,,35,
ENR00237,STU0051,CRS028,2023-01-31,In Progress,,25,
ENR00238,STU0051,CRS011,2023-06-06,In Progress,,80,
ENR00239,STU0052,CRS005,2024-10-28,In Progress,,74,
ENR00240,STU0052,CRS002,2024-07-15,In Progress,,27,
ENR00241,STU0053,CRS035,2023-12-25,In Progress,,75,
ENR00242,STU0053,CRS031,2023-09-25,In Progress,,65,
ENR00243,STU0053,CRS010,2024-06-20,Completed,2024-06-22,100,4.3
ENR00244,STU0053,CRS024,2023-10-27,In Progress,,17,
ENR00245,STU0053,CRS026,2023-10-21,Completed,2024-08-05,100,4.3
ENR00246,STU0054,CRS023,2024-03-26,Completed,2024-07-09,100,4.0
ENR00247,STU0054,CRS003,2024-08-31,In Progress,,58,
ENR00248,STU0054,CRS015,2023-09-09,In Progress,,41,
ENR00249,STU0054,CRS032,2024-05-06,In Progress,,33,
ENR00250,STU0054,CRS038,2024-01-25,Completed,2024-08-05,100,3.7
ENR00251,STU0054,CRS005,2024-04-13,Completed,2024-08-05,100,4.0
ENR00252,STU0054,CRS017,2024-07-18,In Progress,,61,
ENR00253,STU0054,CRS024,2023-08-06,In Progress,,17,
ENR00254,STU0055,CRS015,2024-04-26,Completed,2024-06-03,100,3.4
ENR00255,STU0055,CRS005,2024-03-15,In Progress,,15,
ENR00256,STU0055,CRS033,2023-09-05,In Progress,,92,
ENR00257,STU0056,CRS031,2024-05-30,In Progress,,20,
ENR00258,STU0056,CRS040,2024-10-06,In Progress,,73,
ENR00259,STU0056,CRS014,2024-05-12,Completed,2024-06-27,100,4.0
ENR00260,STU0056,CRS011,2024-09-28,In Progress,,81,
ENR00261,STU0056,CRS027,2024-12-08,In Progress,,84,
ENR00262,STU0056,CRS002,2024-12-26,Completed,2024-12-29,100,4.2
ENR00263,STU0056,CRS016,2024-12-06,In Progress,,28,
ENR00264,STU0056,CRS003,2024-09-28,Completed,2024-12-11,100,4.6
ENR00265,STU0057,CRS011,2023-09-21,Completed,2024-04-05,100,3.3
ENR00266,STU0057,CRS022,2024-02-05,In Progress,,64,
ENR00267,STU0057,CRS030,2023-12-13,In Progress,,22,
ENR00268,STU0057,CRS039,2023-08-21,In Progress,,68,
ENR00269,STU0057,CRS038,2023-11-10,Completed,2024-10-12,100,3.3
ENR00270,STU0058,CRS028,2024-07-03,In Progress,,5,
ENR00271,STU0059,CRS015,2023-03-01,In Progress,,29,
ENR00272,STU0059,CRS031,2023-03-31,In Progress,,69,
ENR00273,STU0059,CRS025,2023-03-04,Completed,2023-03-11,100,4.2
ENR00274,STU0059,CRS023,2023-11-28,Completed,2024-10-28,100,3.4
ENR00275,STU0059,CRS007,2023-08-06,Completed,2024-01-11,100,3.9
ENR00276,STU0059,CRS028,2023-02-28,Completed,2024-08-29,100,3.8
ENR00277,STU0059,CRS009,2024-03-01,Completed,2024-09-20,100,4.5
ENR00278,STU0060,CRS012,2024-12-25,In Progress,,94,
ENR00279,STU0060,CRS024,2024-10-27,Completed,2024-11-25,100,3.9
ENR00280,STU0060,CRS036,2024-01-15,Completed,2024-08-07,100,4.6
ENR00281,STU0060,CRS038,2024-10-04,In Progress,,90,
ENR00282,STU0060,CRS031,2024-02-15,Completed,2024-02-17,100,4.6
ENR00283,STU0060,CRS017,2024-07-23,In Progress,,55,
ENR00284,STU0060,CRS020,2023-12-27,Completed,2024-07-03,100,3.2
ENR00285,STU0060,CRS023,2024-11-29,Completed,2024-12-24,100,4.2
ENR00286,STU0061,CRS039,2023-10-03,Completed,2024-09-03,100,4.9
ENR00287,STU0061,CRS004,2024-02-21,Completed,2024-12-23,100,4.0
ENR00288,STU0061,CRS012,2024-08-07,Completed,2024-08-16,100,3.7
ENR00289,STU0061,CRS032,2023-12-17,Completed,2024-05-06,100,4.6
ENR00290,STU0061,CRS029,2024-09-04,Completed,2024-11-18,100,3.4
ENR00291,STU0062,CRS006,2022-09-10,In Progress,,71,
ENR00292,STU0062,CRS036,2023-01-18,Completed,2023-10-28,100,3.5
ENR00293,STU0063,CRS026,2024-05-13,In Progress,,43,
ENR00294,STU0063,CRS037,2024-12-24,In Progress,,68,
ENR00295,STU0063,CRS001,2024-08-12,In Progress,,48,
ENR00296,STU0063,CRS017,2024-12-09,In Progress,,43,
ENR00297,STU0063,CRS012,2024-11-27,In Progress,,3,
ENR00298,STU0063,CRS027,2024-06-04,Completed,2024-09-09,100,4.3
ENR00299,STU0063,CRS033,2024-08-01,In Progress,,52,
ENR00300,STU0063,CRS007,2024-12-26,In Progress,,89,
ENR00301,STU0064,CRS019,2024-03-11,In Progress,,22,
ENR00302,STU0064,CRS006,2024-07-11,Completed,2024-12-04,100,3.5
ENR00303,STU0064,CRS026,2024-10-14,In Progress,,30,
ENR00304,STU0064,CRS022,2024-06-16,Completed,2024-08-06,100,4.7
ENR00305,STU0065,CRS010,2024-07-20,In Progress,,5,
ENR00306,STU0065,CRS007,2023-06-14,In Progress,,63,
ENR00307,STU0065,CRS008,2024-11-04,Completed,2024-11-15,100,5.0
ENR00308,STU0065,CRS006,2023-03-12,Completed,2024-10-22,100,3.3
ENR00309,STU0065,CRS032,2024-08-25,In Progress,,69,
ENR00310,STU0065,CRS001,2023-10-26,Completed,2024-10-11,100,4.6
ENR00311,STU0066,CRS034,2024-06-12,In Progress,,1,
ENR00312,STU0066,CRS030,2024-07-15,In Progress,,41,
ENR00313,STU0067,CRS012,2023-11-15,In Progress,,43,
ENR00314,STU0067,CRS036,2023-01-25,In Progress,,26,
ENR00315,STU0067,CRS017,2024-07-07,In Progress,,46,
ENR00316,STU0067,CRS016,2023-05-03,In Progress,,73,
ENR00317,STU0067,CRS018,2024-03-01,In Progress,,12,
ENR00318,STU0068,CRS036,2022-11-27,In Progress,,94,
ENR00319,STU0068,CRS028,2024-09-27,In Progress,,22,
ENR00320,STU0068,CRS025,2024-11-21,Completed,2024-12-31,100,4.0
ENR00321,STU0068,CRS013,2024-10-25,Completed,2024-10-31,100,3.8
ENR00322,STU0069,CRS014,2022-07-03,In Progress,,80,
ENR00323,STU0070,CRS022,2024-09-05,Completed,2024-12-25,100,4.4
ENR00324,STU0070,CRS017,2024-05-19,In Progress,,83,
ENR00325,STU0070,CRS024,2024-05-07,In Progress,,36,
ENR00326,STU0070,CRS038,2024-07-23,In Progress,,62,
ENR00327,STU0070,CRS036,2024-03-19,Completed,2024-08-12,100,3.9
ENR00328,STU0070,CRS039,2024-05-03,In Progress,,43,
ENR00329,STU0070,CRS023,2024-12-27,In Progress,,51,
ENR00330,STU0070,CRS002,2024-03-19,Completed,2024-07-13,100,3.6
ENR00331,STU0071,CRS039,2024-05-12,In Progress,,57,
ENR00332,STU0071,CRS026,2022-01-03,Completed,2022-02-19,100,3.3
ENR00333,STU0071,CRS018,2024-10-12,Completed,2024-10-22,100,3.4
ENR00334,STU0071,CRS029,2021-08-24,Completed,2024-04-19,100,4.1
ENR00335,STU0071,CRS024,2023-04-19,In Progress,,10,
ENR00336,STU0072,CRS040,2023-04-27,Completed,2024-02-11,100,3.9
ENR00337,STU0072,CRS010,2022-10-08,In Progress,,21,
ENR00338,STU0072,CRS006,2022-03-25,In Progress,,41,
ENR00339,STU0072,CRS025,2024-08-26,In Progress,,69,
ENR00340,STU0072,CRS020,2024-07-12,Completed,2024-11-27,100,3.4
ENR00341,STU0073,CRS037,2021-11-13,In Progress,,46,
ENR00342,STU0073,CRS028,2023-09-05,Completed,2024-02-07,100,3.0
ENR00343,STU0073,CRS034,2024-04-19,In Progress,,17,
ENR00344,STU0073,CRS035,2023-04-18,Completed,2024-10-16,100,3.0
ENR00345,STU0073,CRS020,2024-02-15,In Progress,,61,
ENR00346,STU0073,CRS023,2023-01-17,Completed,2024-04-01,100,4.6
ENR00347,STU0073,CRS031,2024-09-17,Completed,2024-09-17,100,4.1
ENR00348,STU0073,CRS015,2022-06-04,In Progress,,71,
ENR00349,STU0074,CRS026,2021-09-29,In Progress,,30,
ENR00350,STU0074,CRS016,2024-09-26,In Progress,,87,
ENR00351,STU0074,CRS011,2022-11-24,In Progress,,68,
ENR00352,STU0074,CRS025,2023-08-13,Completed,2023-09-17,100,3.4
ENR00353,STU0074,CRS037,2021-12-02,In Progress,,79,
ENR00354,STU0074,CRS015,2022-10-29,In Progress,,62,
ENR00355,STU0074,CRS017,2023-02-05,Completed,2023-03-27,100,4.9
ENR00356,STU0075,CRS007,2022-05-14,In Progress,,93,
ENR00357,STU0075,CRS019,2022-12-20,Completed,2023-01-04,100,4.0
ENR00358,STU0075,CRS018,2024-01-08,Completed,2024-09-19,100,5.0
ENR00359,STU0076,CRS022,2023-05-12,In Progress,,18,
ENR00360,STU0077,CRS026,2023-04-02,In Progress,,32,
ENR00361,STU0077,CRS005,2023-10-13,In Progress,,15,
ENR00362,STU0077,CRS035,2024-11-12,In Progress,,49,
ENR00363,STU0077,CRS031,2024-11-15,In Progress,,31,
ENR00364,STU0077,CRS012,2024-10-12,In Progress,,25,
ENR00365,STU0078,CRS007,2022-06-03,In Progress,,70,
ENR00366,STU0078,CRS034,2022-11-14,Completed,2024-08-28,100,3.6
ENR00367,STU0078,CRS014,2022-06-23,In Progress,,27,
ENR00368,STU0078,CRS031,2023-07-05,In Progress,,41,
ENR00369,STU0078,CRS025,2023-02-14,In Progress,,74,
ENR00370,STU0078,CRS020,2024-05-27,In Progress,,1,
ENR00371,STU0078,CRS021,2024-11-06,In Progress,,19,
ENR00372,STU0078,CRS011,2022-09-08,Completed,2024-02-01,100,3.2
ENR00373,STU0079,CRS004,2024-04-09,In Progress,,40,
ENR00374,STU0079,CRS040,2024-11-16,In Progress,,44,
ENR00375,STU0079,CRS023,2024-09-16,In Progress,,2,
ENR00376,STU0079,CRS010,2024-08-16,Completed,2024-09-19,100,3.5
ENR00377,STU0079,CRS035,2024-02-25,In Progress,,56,
ENR00378,STU0079,CRS007,2024-11-17,Completed,2024-12-31,100,4.0
ENR00379,STU0080,CRS035,2024-11-04,In Progress,,76,
ENR00380,STU0080,CRS023,2024-12-21,In Progress,,20,
ENR00381,STU0080,CRS021,2024-05-18,In Progress,,57,
ENR00382,STU0081,CRS017,2024-10-05,In Progress,,48,
ENR00383,STU0081,CRS035,2022-08-22,In Progress,,46,
ENR00384,STU0081,CRS024,2023-04-04,Completed,2023-06-07,100,4.3
ENR00385,STU0081,CRS030,2024-11-18,Completed,2024-12-21,100,4.4
ENR00386,STU0081,CRS001,2023-01-07,In Progress,,41,
ENR00387,STU0082,CRS008,2024-06-06,In Progress,,25,
ENR00388,STU0082,CRS007,2024-05-19,In Progress,,12,
ENR00389,STU0082,CRS034,2024-04-30,In Progress,,49,
ENR00390,STU0082,CRS005,2024-10-07,In Progress,,79,
ENR00391,STU0082,CRS003,2024-10-18,In Progress,,6,
ENR00392,STU0082,CRS009,2024-07-24,Completed,2024-08-11,100,3.0
ENR00393,STU0083,CRS032,2023-11-11,In Progress,,53,
ENR00394,STU0083,CRS006,2023-11-27,In Progress,,7,
ENR00395,STU0083,CRS030,2023-04-30,In Progress,,93,
ENR00396,STU0083,CRS004,2022-03-26,In Progress,,9,
ENR00397,STU0084,CRS034,2023-10-21,Completed,2024-07-16,100,4.3
